Open time,Quote asset volume,Number of trades,Taker buy base asset volume,aroon_down,stoch,class
1680134400000,2808471938.6424427,1843652,49100.20979,20.0,73.07948438533252,-1
1680220800000,2203253311.777351,1537349,39636.47111,16.0,73.12500467020857,1
1680307200000,860804237.452269,822781,15171.37738,12.0,72.65312679803027,0
1680393600000,1053600933.0676804,938464,17897.01839,8.0,62.15972860484054,0
1680480000000,2214361048.7823668,1651062,40534.82008,4.0,48.26604496850412,-1
1680566400000,1397141464.875036,1102007,25083.95234,0.0,61.920613926935566,0
1680652800000,1721098539.0660567,1262730,30556.88672,0.0,62.09023590157436,1
1680739200000,1122713087.5561826,934548,19308.64369,0.0,57.00195027909165,0
1680825600000,691323748.9286413,655634,11983.13367,0.0,52.23871117188616,-1
1680912000000,545324518.6860753,624159,9729.24214,4.0,53.43615264483255,0
1680998400000,913915923.6951956,777589,16885.70757,0.0,67.83459242155911,0
1681084800000,1955300943.1708305,1285695,36147.62326,0.0,95.77276290381172,0
1681171200000,2046078278.0821176,1340458,34766.92718,0.0,89.56402846771105,1
1681257600000,1863497606.1415305,1246556,31136.38576,36.0,80.23947984333205,-1
1681344000000,1571091101.1299672,1054144,26767.65298,32.0,93.48525374400548,0
1681430400000,2323267494.38023,1504180,38406.59006,28.000000000000004,85.97095606038276,1
1681516800000,772211097.614016,732418,12424.34509,24.0,81.44856517253722,-1
1681603200000,801322926.1525651,708233,13163.73591,20.0,81.70016001010593,1
1681689600000,1675287761.4330356,1137294,26880.17771,16.0,52.96280425864719,-1
1681776000000,1861001491.9786973,1141562,32417.57068,12.0,81.14958954089384,1
1681862400000,2541283888.3034472,1699891,41467.78872,8.0,33.02219519610819,0
1681948800000,2198854031.424746,1434642,36919.58585,4.0,14.744854719677411,0
1682035200000,2164667611.9354606,1463628,38419.13612,0.0,3.5571612903225844,-1
1682121600000,989379475.3218232,859500,18612.89655,0.0,17.85419354838706,1
1682208000000,959389698.7572552,873485,17610.47671,92.0,12.015483870967705,0
1682294400000,1458406515.6404212,1211080,25641.28044,100.0,14.002583074943692,-1
1682380800000,1446329375.242731,1087067,26833.47192,96.0,33.47078512661506,0
1682467200000,3719701461.909163,2261942,64540.55521,92.0,36.29294238855562,0
1682553600000,2784859692.36462,1990148,48601.97474,88.0,62.35735165804821,1
1682640000000,1590683771.668198,1129240,26659.2164,84.0,64.85142822726804,0
1682726400000,599466910.0466621,619319,10024.59978,80.0,63.41896833251552,-1
1682812800000,1172155267.8761897,949458,19894.27252,76.0,64.66046333049137,1
1682899200000,1828221138.95444,1362793,30761.9269,72.0,31.772524264718296,-1
1682985600000,1441733922.0116444,1174697,24789.36748,68.0,49.76042365971232,0
1683072000000,1845961218.843244,1502909,32291.20998,64.0,67.35269205154565,1
1683158400000,1233816136.1606576,961542,20470.2124,60.0,61.27480457005412,-1
1683244800000,1709786814.901134,1288027,29071.98606,56.00000000000001,82.85292158878568,1
1683331200000,1429517892.780502,1221021,23315.95073,52.0,61.59938962491678,0
1683417600000,865838535.326382,855425,14904.01102,48.0,48.0825558163443,0
1683504000000,1903052694.6684127,1600637,32347.56935,44.0,16.764767932489484,0
1683590400000,1106923908.3058467,1003698,20094.09737,40.0,14.04034273473761,0
1683676800000,1971173412.435502,1534579,34398.83676,100.0,25.74090258395748,0
1683763200000,1295799109.011004,1257000,23270.11723,100.0,8.158624446797692,0
1683849600000,1777052127.731093,1351633,33147.27251,100.0,23.654799383346983,0
1683936000000,612062852.0866882,605049,10959.29947,96.0,23.18028442037263,-1
1684022400000,580801698.0002693,629537,10672.14983,92.0,27.59508449460401,0
1684108800000,1104633264.131574,935914,19301.24631,88.0,33.69506104466963,1
1684195200000,900273404.6010331,815642,15970.99932,84.0,30.49439446781124,-1
1684281600000,1159714527.6352637,1016823,21634.02212,80.0,39.76884351908678,1
1684368000000,1330745572.6946373,1057318,23659.89374,76.0,25.191715687008223,-1
1684454400000,772864757.1633048,756295,13622.24812,72.0,26.66307433629199,0
1684540800000,389225653.7451669,481382,6769.94368,68.0,38.80480818076068,1
1684627200000,575213570.2794422,568937,9855.43959,64.0,33.20813605007891,-1
